2024-11-16 12:34:15 [ERROR]: Ошибка синхронизации базы данных:
2024-11-16 15:26:27 [ERROR]: Ошибка синхронизации базы данных: Access denied for user 'db_user'@'localhost' (using password: YES)
2024-11-28 12:36:20 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-29 08:49:54 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-29 10:08:33 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-29 10:08:46 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-29 19:09:05 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-30 05:34:05 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-30 06:10:40 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-30 06:10:55 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-30 09:59:45 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-30 11:34:00 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-30 11:34:18 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-30 14:17:20 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-30 17:42:32 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-30 17:54:28 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-12-01 00:06:27 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-12-01 00:40:23 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-12-01 05:31:25 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-12-01 05:31:43 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-12-02 04:25:26 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-12-02 17:41:13 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-12-02 17:41:26 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-12-02 18:03:14 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-12-02 20:19:55 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-12-03 09:31:44 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-12-03 16:35:57 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-12-03 16:40:38 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
